Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
18.31640625,1172,4153.4614257812,4125.1284179688,4106.1538085938,4122.0512695312,4140.6411132812,4155.2563476562,4106.6665039062,4144.4873046875,4130.384765625,4130.0,4153.4614257812,4139.615234375,4132.4360351562,4170.7690429688,,,
16.04296875,1026,4195.384765625,4206.9228515625,4172.9487304688,4237.4360351562,4216.794921875,4158.7177734375,4201.1538085938,4213.8461914062,4202.5639648438,4212.3076171875,4213.8461914062,4213.3334960938,4250.0,4203.4614257812,,,
5.57421875,356,4165.0,4147.6923828125,4134.8715820312,4110.8974609375,4167.4360351562,4160.5126953125,4186.2822265625,4174.3588867188,4203.58984375,4200.6411132812,4258.8461914062,4201.5385742188,4310.7690429688,4176.794921875,,,
15.99609375,1023,4198.7177734375,4201.2822265625,4164.7436523438,4253.8461914062,4237.0512695312,4165.384765625,4223.4614257812,4232.9487304688,4234.4873046875,4231.41015625,4229.8715820312,4238.8461914062,4263.7177734375,4220.5126953125,,,
12.390625,793,4168.205078125,4241.6665039062,4086.794921875,4185.7690429688,4175.1284179688,4160.384765625,4170.0,4202.4360351562,4177.9487304688,4180.384765625,4156.5385742188,4172.8203125,4157.1796875,4150.7690429688,,,
4.06640625,260,4151.2822265625,4155.0,4141.794921875,4170.0,4156.6665039062,4156.0258789062,4169.4873046875,4160.6411132812,4160.8974609375,4151.0258789062,4120.7690429688,4136.41015625,4111.9228515625,4130.7690429688,,,
2.63671875,168,4183.4614257812,4189.1025390625,4139.8715820312,4195.2563476562,4187.8203125,4166.794921875,4184.7436523438,4160.7690429688,4180.2563476562,4182.4360351562,4183.7177734375,4172.8203125,4226.0258789062,4173.205078125,,,
18.6171875,1191,4149.3588867188,4146.1538085938,4166.0258789062,4138.3334960938,4149.8715820312,4151.794921875,4092.3076171875,4145.0,4137.0512695312,4145.1284179688,4157.3076171875,4145.6411132812,4163.58984375,4166.0258789062,,,
5.3125,340,4163.9741210938,4081.1538085938,4186.0258789062,4093.9743652344,4168.4614257812,4158.58984375,4178.58984375,4185.1284179688,4201.1538085938,4205.7690429688,4234.2309570312,4196.0258789062,4166.9228515625,4197.9487304688,,,
5.51953125,353,4172.6923828125,4180.6411132812,4204.8715820312,4126.1538085938,4173.4614257812,4168.9741210938,4179.3588867188,4164.8715820312,4188.3334960938,4186.41015625,4252.6923828125,4197.1796875,4276.794921875,4181.6665039062,,,
